Time,Total Energy,Total Kinetic Energy,Potential Energy,Temperature
1.3099999999999999e-14,7.019313668127508e-06,1.6831583216894529e-09,7.017630509805819e-06,8127.377398549295
1.32e-14,7.010259849595666e-06,1.6707557096707077e-09,7.008589093885995e-06,8067.489563100193
1.3299999999999999e-14,7.010253311595028e-06,1.6587317534600364e-09,7.008594579841568e-06,8009.430122886828
1.34e-14,7.0102471091949115e-06,1.64706931284941e-09,7.008600039882062e-06,7953.116313894939
1.35e-14,7.000954023007728e-06,1.6357522666717944e-09,6.999318270741056e-06,7898.470292699518
1.36e-14,7.010235667890871e-06,1.6247654537079783e-09,7.008610902437163e-06,7845.41885112474
1.37e-14,7.010230407886298e-06,1.614094617047158e-09,7.008616313269251e-06,7793.893147580875
1.38e-14,7.010225441515737e-06,1.603726345224051e-09,7.008621715170513e-06,7743.828422836174
1.39e-14,7.0008426832507945e-06,1.5936480281610397e-09,6.999249035222633e-06,7695.163787277044
1.4e-14,7.000838258304011e-06,1.5838478015655235e-09,6.999254410502445e-06,7647.841952422488
1.41e-14,7.000834098942566e-06,1.5743144988774955e-09,6.9992597844436884e-06,7601.808998895908
1.42e-14,7.010135572294953e-06,1.5650376068456746e-09,7.008570534688107e-06,7557.014161917932
1.43e-14,7.010131903471209e-06,1.556007221863458e-09,7.008575896249345e-06,7513.409620468142
1.44e-14,7.01012847657321e-06,1.5472140131166808e-09,7.008581262560093e-06,7470.9503193386145
1.4499999999999998e-14,7.00076539477474e-06,1.5386491784152989e-09,6.9992267455963245e-06,7429.593755860705
1.46e-14,7.000762414778844e-06,1.5303044092495486e-09,6.999232110369594e-06,7389.29981117358
1.47e-14,7.000759655666673e-06,1.522171855402478e-09,6.999237483811271e-06,7350.0305793506195
1.48e-14,7.000757111223437e-06,1.5142440906513656e-09,6.9992428671327856e-06,7311.750201783681
1.4899999999999998e-14,7.00075477582513e-06,1.5065140904421692e-09,6.999248261734688e-06,7274.424759380887
1.5e-14,7.000752643560682e-06,1.4989751915607558e-09,6.999253668369121e-06,7238.0220778332305
1.51e-14,7.0007507083504974e-06,1.491621082981581e-09,6.999259087267516e-06,7202.511683426084
1.52e-14,7.000748964753642e-06,1.4844457679504766e-09,6.999264518985692e-06,7167.864619950359
1.53e-14,7.000747405924878e-06,1.4774435406770185e-09,6.999269962384202e-06,7134.053336158182
1.54e-14,7.000746028317698e-06,1.470608963222848e-09,6.999275419354475e-06,7101.051574164749
1.55e-14,7.0007448270059545e-06,1.463936865970013e-09,6.999280890139984e-06,7068.834371709792
1.56e-14,6.982409136667895e-06,1.4574223169357989e-09,6.980951714350959e-06,7037.37791398972
1.57e-14,6.982408255527916e-06,1.4510606022261496e-09,6.98095719492569e-06,7006.659439274088
1.58e-14,6.982407536315112e-06,1.4448472068576273e-09,6.9809626891082544e-06,6976.657146301618
1.59e-14,6.973065146770165e-06,1.4387778081822882e-09,6.971626368961983e-06,6947.350162531236
1.6e-14,6.973064722558821e-06,1.4328482640508623e-09,6.97163187429477e-06,6918.718486986252
1.61e-14,6.973119525123143e-06,1.4270545925909436e-09,6.971692470530552e-06,6890.742892610377
1.62e-14,6.973119425788823e-06,1.4213929653572995e-09,6.971698032823465e-06,6863.404893192981
1.63e-14,6.9731194674616226e-06,1.4158597016774071e-09,6.971703607759945e-06,6836.686716065691
1.6399999999999998e-14,6.973119646722876e-06,1.4104512486841858e-09,6.971709195474192e-06,6810.571205687498
1.65e-14,6.973119959141113e-06,1.4051641774485971e-09,6.971714794963664e-06,6785.04180497045
1.66e-14,6.973120401170078e-06,1.3999951691390647e-09,6.97172040600094e-06,6760.082488448379
1.67e-14,6.973120970402987e-06,1.394941022684732e-09,6.971726029380302e-06,6735.677799280059
1.68e-14,6.973121663194149e-06,1.3899986264203797e-09,6.971731664567728e-06,6711.812712332532
1.69e-14,6.973122476125107e-06,1.3851649633786241e-09,6.971737311161728e-06,6688.47265973526
1.7e-14,6.963855047100752e-06,1.3804371111717357e-09,6.96247460998958e-06,6665.643530309469
1.71e-14,6.954606050612263e-06,1.3758122304872208e-09,6.953230238381776e-06,6643.311614017373
1.72e-14,6.954607234000035e-06,1.3712875483788374e-09,6.953235946451656e-06,6621.4635212803905
1.73e-14,6.954608524051939e-06,1.366860364486391e-09,6.953241663687453e-06,6600.08621301234
1.74e-14,6.9546099202149895e-06,1.3625280512147096e-09,6.953247392163774e-06,6579.167001483648
1.75e-14,6.954611418427261e-06,1.3582880380680945e-09,6.953253130389193e-06,6558.693474677945
1.76e-14,6.945270936892671e-06,1.354137817856011e-09,6.943916799074815e-06,6538.653526257149
1.77e-14,6.945272617842718e-06,1.3500749357102374e-09,6.9439225429070075e-06,6519.035302529161
1.78e-14,6.945274393129857e-06,1.3460969981135129e-09,6.943928296131743e-06,6499.827246044012
1.7899999999999998e-14,6.945276261248511e-06,1.342201657759201e-09,6.943934059590752e-06,6481.018022486531
1.8e-14,6.9452782188207925e-06,1.338386613192732e-09,6.9439398322075995e-06,6462.596518944989
1.81e-14,6.9452802643127455e-06,1.334649609523141e-09,6.943945614703222e-06,6444.551847346868
1.82e-14,6.945282395137965e-06,1.3309884411503887e-09,6.943951406696814e-06,6426.873357628133
1.8299999999999998e-14,6.945284609210811e-06,1.3274009475912282e-09,6.9439572082632194e-06,6409.550617577812
1.84e-14,6.945286904254637e-06,1.3238850115002636e-09,6.943963019243136e-06,6392.573403282387
1.85e-14,6.945289278448981e-06,1.3204385600348061e-09,6.943968839888947e-06,6375.931705716206
1.86e-14,6.935967800946803e-06,1.3170595553163025e-09,6.9346507413914866e-06,6359.6156846830845
1.87e-14,6.945000745304302e-06,1.3137460074372875e-09,6.943686999296865e-06,6343.61573162229
1.88e-14,6.945003359560224e-06,1.3104959651199283e-09,6.9436928635951035e-06,6327.922424501947
1.89e-14,6.945006045963873e-06,1.3073075187061256e-09,6.943698738445167e-06,6312.526542257183
1.9e-14,6.945008802836838e-06,1.304178794116106e-09,6.943704624042722e-06,6297.419035618303
1.91e-14,6.945011628560701e-06,1.3011079587264594e-09,6.943710520601975e-06,6282.591055493754
1.92e-14,6.945014521705898e-06,1.2980932169932989e-09,6.943716428488905e-06,6268.0339318359165
1.93e-14,6.945017479732205e-06,1.2951328106482054e-09,6.943722346921557e-06,6253.739174587243
1.9399999999999998e-14,6.945020501755028e-06,1.2922250278421333e-09,6.943728276727186e-06,6239.698517832958
1.95e-14,6.945023586988711e-06,1.289368193135867e-09,6.943734218795575e-06,6225.9038714685
1.96e-14,6.935795308847788e-06,1.286560670950713e-09,6.934508748176837e-06,6212.347337861702
1.97e-14,6.935798528379422e-06,1.2838008670938593e-09,6.934514727512328e-06,6199.021219218205
1.9799999999999998e-14,6.935801806566887e-06,1.2810872218889521e-09,6.934520719344998e-06,6185.917984411448
1.99e-14,6.935805141923961e-06,1.2784182140836893e-09,6.934526723709877e-06,6173.030287851048
2e-14,6.935808534181171e-06,1.2757923674199925e-09,6.934532741813751e-06,6160.35100120785
2.01e-14,6.935555237605205e-06,1.2732082443606296e-09,6.934282029360845e-06,6147.873183121994
2.02e-14,6.9355587527598136e-06,1.270664444114157e-09,6.934288088315699e-06,6135.590069666063
2.03e-14,6.935562321470705e-06,1.268159607509186e-09,6.934294161863195e-06,6123.495097881195
2.04e-14,6.935565943003468e-06,1.265692419344225e-09,6.934300250584124e-06,6111.581917123638
2.05e-14,6.935569615066155e-06,1.2632616013095555e-09,6.934306353464845e-06,6099.844354886992
2.06e-14,6.935573337699806e-06,1.2608659103732142e-09,6.934312471789433e-06,6088.276409008682
2.07e-14,6.935577109817353e-06,1.2585041484827707e-09,6.93431860566887e-06,6076.872294516423
2.08e-14,6.926367946935828e-06,1.2561751585440309e-09,6.9251117717772845e-06,6065.626424210792
2.0899999999999998e-14,6.926371828958426e-06,1.253877824041142e-09,6.9251179511343856e-06,6054.533406830855
2.1e-14,6.926375758337614e-06,1.2516110664918848e-09,6.925124147271121e-06,6043.588034766669
2.11e-14,6.935685699102895e-06,1.2493738484216043e-09,6.934436325254474e-06,6032.78529841934
2.12e-14,6.945014000290048e-06,1.2471651691188352e-09,6.94376683512093e-06,6022.120365706443
2.1299999999999998e-14,6.945018092917932e-06,1.2449840629842779e-09,6.943773108854947e-06,6011.588574089808
2.14e-14,6.945022230246513e-06,1.242829616453911e-09,6.943779400630059e-06,6001.185512291253
2.15e-14,6.9450264113738e-06,1.2407009500190648e-09,6.94378571042378e-06,5990.906933473871
2.16e-14,6.945030636550563e-06,1.238597220689708e-09,6.9437920393298735e-06,5980.748767136364
2.1699999999999998e-14,6.945034904929989e-06,1.2365176261400315e-09,6.943798387303849e-06,5970.707139130614
2.18e-14,6.945039216164125e-06,1.2344614018302253e-09,6.9438047547622945e-06,5960.778357763754
2.19e-14,6.9450435696701525e-06,1.2324278201484335e-09,6.943811141850004e-06,5950.958909654969
2.2e-14,6.9450479653633685e-06,1.2304161931283104e-09,6.9438175491702404e-06,5941.245472857622
2.21e-14,6.945052402532694e-06,1.2284258720038217e-09,6.94382397666069e-06,5931.63491470954
2.22e-14,6.945056880785753e-06,1.2264562385242144e-09,6.943830424547229e-06,5922.124249896073
2.23e-14,6.945061399794691e-06,1.224506708828209e-09,6.943836893085862e-06,5912.710659157199
2.2399999999999998e-14,6.945065958729012e-06,1.2225767340596782e-09,6.943843381994952e-06,5903.391492260419
2.25e-14,6.9450705576402904e-06,1.220665801371082e-09,6.943849891838919e-06,5894.164272845993
2.26e-14,6.9265562815889285e-06,1.2187734314622424e-09,6.9253375081574665e-06,5885.026686542548
2.27e-14,6.926560959774203e-06,1.2168991782053714e-09,6.9253440605959975e-06,5875.976579156476
2.2799999999999998e-14,6.926565676093943e-06,1.2150426223803835e-09,6.9253506334715625e-06,5867.011926421963
2.29e-14,6.926570432253324e-06,1.2132033724868426e-09,6.925357228880837e-06,5858.130837921599
2.3e-14,6.9265752260711715e-06,1.2113810706465848e-09,6.925363845000525e-06,5849.331585588057
2.31e-14,6.926580058577974e-06,1.2095753863702159e-09,6.9253704831916035e-06,5840.612573604712
2.3199999999999998e-14,6.91740880910709e-06,1.207786014251755e-09,6.916201023092838e-06,5831.972327273888
2.33e-14,6.917413728684107e-06,1.2060126726190628e-09,6.916207716011488e-06,5823.409486500252
2.34e-14,6.917418685728152e-06,1.2042551020340804e-09,6.9162144306261174e-06,5814.922798548993
2.35e-14,6.917423679869659e-06,1.2025130679646154e-09,6.9162211668016945e-06,5806.511130946946
2.36e-14,6.917428711306813e-06,1.2007863606764024e-09,6.916227924946137e-06,5798.173470961374
2.37e-14,6.917433779071497e-06,1.1990747850985044e-09,6.916234704286398e-06,5789.9088766635805
2.38e-14,6.926614936712239e-06,1.1973781698013046e-09,6.925417558542438e-06,5781.71652028046
2.39e-14,6.926620066435428e-06,1.1956963533040141e-09,6.925424370082124e-06,5773.595622078285
2.4e-14,6.926625232186709e-06,1.1940291928146512e-09,6.925431202993894e-06,5765.545492564976
2.41e-14,6.926630433958063e-06,1.1923765567968282e-09,6.925438057401267e-06,5757.565496597751
2.42e-14,6.91732934219548e-06,1.1907383313833886e-09,6.9161386038640965e-06,5749.655084352304
2.4299999999999998e-14,6.9173346040464974e-06,1.189114419899125e-09,6.9161454896265984e-06,5741.813789018184
2.44e-14,6.90816391533401e-06,1.1875047314089928e-09,6.906976410602601e-06,5734.04117150216
2.45e-14,6.908169258353841e-06,1.1859091812452734e-09,6.906983349172595e-06,5726.336822973705
2.46e-14,6.9081746365023465e-06,1.1843276992843238e-09,6.906990308803062e-06,5718.700404830501
2.4699999999999998e-14,6.908180049080903e-06,1.1827602213416653e-09,6.906997288859561e-06,5711.131607148355
2.48e-14,6.908185496252669e-06,1.181206685799635e-09,6.90700428956687e-06,5703.630132397324
2.49e-14,6.908190977489197e-06,1.1796670453986722e-09,6.9070113104437985e-06,5696.195752377673
2.5e-14,6.908196492475233e-06,1.1781412523143705e-09,6.907018351222918e-06,5688.828236162223
2.51e-14,6.908202040981697e-06,1.1766292644712292e-09,6.907025411717225e-06,5681.527380583234
2.52e-14,6.908207622949693e-06,1.1751310419077574e-09,6.907032491907785e-06,5674.292992680773
2.53e-14,6.908213238488964e-06,1.173646544098851e-09,6.9070395919448655e-06,5667.124876773416
2.54e-14,6.91728753755631e-06,1.1721757374244617e-09,6.916115361818885e-06,5660.022870521819
2.55e-14,6.917293240841535e-06,1.1707185888388655e-09,6.916122522252696e-06,5652.986814359844
2.56e-14,6.9172989766729816e-06,1.1692750638756475e-09,6.916129701609106e-06,5646.01654186134
2.57e-14,6.9173047443754085e-06,1.1678451349951358e-09,6.916136899240413e-06,5639.111920046953
2.5799999999999998e-14,6.917310544396469e-06,1.1664287653674626e-09,6.916144115631101e-06,5632.272771078252
2.59e-14,6.917316375754985e-06,1.1650259181952959e-09,6.916151349836789e-06,5625.49891727391
2.6e-14,6.917322238634195e-06,1.1636365609216162e-09,6.916158602073274e-06,5618.790201427571
2.61e-14,6.9173281320041105e-06,1.1622606524298524e-09,6.916165871351681e-06,5612.146425001829
2.6199999999999998e-14,6.917334056739083e-06,1.1608981500296642e-09,6.916173158589054e-06,5605.567381860097
2.63e-14,6.908051740338374e-06,1.1595490116202575e-09,6.906892191326754e-06,5599.052868712504
2.64e-14,6.908057715417456e-06,1.1582131934179411e-09,6.906899502224038e-06,5592.60267414306
2.65e-14,6.908063720423463e-06,1.1568906393924527e-09,6.9069068297840704e-06,5586.216527601404
2.6599999999999998e-14,6.917156959063974e-06,1.1555812982488e-09,6.916001377765725e-06,5579.894181402128
2.67e-14,6.917163045527228e-06,1.1542851148988544e-09,6.91600876041233e-06,5573.635369544103
2.68e-14,6.917169161701581e-06,1.1530020268899343e-09,6.916016159674692e-06,5567.439790465374
2.69e-14,6.917175306416475e-06,1.1517319660835e-09,6.916023574450391e-06,5561.307115148987
2.7e-14,6.907911423140362e-06,1.1504748630872188e-09,6.9067609482772744e-06,5555.23700852386
2.71e-14,6.907917614592977e-06,1.1492306394401256e-09,6.906768383953537e-06,5549.22909172969
2.72e-14,6.907923834559942e-06,1.1479992149114845e-09,6.906775835345031e-06,5543.282977360573
2.7299999999999998e-14,6.89877269667477e-06,1.1467805016491388e-09,6.897625916173121e-06,5537.398241209455
2.74e-14,6.907936359078351e-06,1.145574411025282e-09,6.906790784667326e-06,5531.574455323944
2.75e-14,6.907942662330653e-06,1.144380847779923e-09,6.906798281482874e-06,5525.811159727166
2.76e-14,6.907948994007202e-06,1.143199712253328e-09,6.906805794294949e-06,5520.10787319745
2.7699999999999998e-14,6.907955351342596e-06,1.1420308967105408e-09,6.9068133204458855e-06,5514.464075520719
2.78e-14,6.90796173602623e-06,1.1408742847258413e-09,6.906820861741504e-06,5508.879204518268
2.79e-14,6.907968147197243e-06,1.1397297649186441e-09,6.9068284174323245e-06,5503.352722372566
2.8e-14,6.9079745843878885e-06,1.1385972177803793e-09,6.906835987170108e-06,5497.884052018914
